id,name,number_of_devices,gsmarena_link
pantech-phones-32,Pantech,72,https://www.gsmarena.com/pantech-phones-32.php
parla-phones-81,Parla,10,https://www.gsmarena.com/parla-phones-81.php
philips-phones-11,Philips,229,https://www.gsmarena.com/philips-phones-11.php
plum-phones-72,Plum,113,https://www.gsmarena.com/plum-phones-72.php
posh-phones-101,Posh,30,https://www.gsmarena.com/posh-phones-101.php
prestigio-phones-86,Prestigio,56,https://www.gsmarena.com/prestigio-phones-86.php
qmobile-phones-103,QMobile,90,https://www.gsmarena.com/qmobile-phones-103.php
qtek-phones-38,Qtek,21,https://www.gsmarena.com/qtek-phones-38.php
razer-phones-117,Razer,2,https://www.gsmarena.com/razer-phones-117.php
realme-phones-118,Realme,219,https://www.gsmarena.com/realme-phones-118.php
sagem-phones-13,Sagem,120,https://www.gsmarena.com/sagem-phones-13.php
samsung-phones-9,Samsung,1399,https://www.gsmarena.com/samsung-phones-9.php
sendo-phones-18,Sendo,19,https://www.gsmarena.com/sendo-phones-18.php
sewon-phones-26,Sewon,25,https://www.gsmarena.com/sewon-phones-26.php
sharp-phones-23,Sharp,75,https://www.gsmarena.com/sharp-phones-23.php
siemens-phones-3,Siemens,94,https://www.gsmarena.com/siemens-phones-3.php
sonim-phones-54,Sonim,18,https://www.gsmarena.com/sonim-phones-54.php
sony-phones-7,Sony,160,https://www.gsmarena.com/sony-phones-7.php
sony_ericsson-phones-19,Sony Ericsson,188,https://www.gsmarena.com/sony_ericsson-phones-19.php
spice-phones-68,Spice,120,https://www.gsmarena.com/spice-phones-68.php
t_mobile-phones-55,T-Mobile,66,https://www.gsmarena.com/t_mobile-phones-55.php
tcl-phones-123,TCL,69,https://www.gsmarena.com/tcl-phones-123.php
tecno-phones-120,Tecno,145,https://www.gsmarena.com/tecno-phones-120.php
tel_me_-phones-21,Tel.Me.,7,https://www.gsmarena.com/tel_me_-phones-21.php
telit-phones-16,Telit,30,https://www.gsmarena.com/telit-phones-16.php
thuraya-phones-49,Thuraya,1,https://www.gsmarena.com/thuraya-phones-49.php
toshiba-phones-44,Toshiba,35,https://www.gsmarena.com/toshiba-phones-44.php
ulefone-phones-124,Ulefone,97,https://www.gsmarena.com/ulefone-phones-124.php
umidigi-phones-135,Umidigi,66,https://www.gsmarena.com/umidigi-phones-135.php
unnecto-phones-91,Unnecto,30,https://www.gsmarena.com/unnecto-phones-91.php
vertu-phones-39,Vertu,17,https://www.gsmarena.com/vertu-phones-39.php
verykool-phones-70,verykool,139,https://www.gsmarena.com/verykool-phones-70.php
vivo-phones-98,vivo,468,https://www.gsmarena.com/vivo-phones-98.php
vk_mobile-phones-37,VK Mobile,31,https://www.gsmarena.com/vk_mobile-phones-37.php
vodafone-phones-53,Vodafone,87,https://www.gsmarena.com/vodafone-phones-53.php
wiko-phones-96,Wiko,100,https://www.gsmarena.com/wiko-phones-96.php
wnd-phones-51,WND,5,https://www.gsmarena.com/wnd-phones-51.php
xcute-phones-43,XCute,4,https://www.gsmarena.com/xcute-phones-43.php
xiaomi-phones-80,Xiaomi,405,https://www.gsmarena.com/xiaomi-phones-80.php
xolo-phones-85,XOLO,81,https://www.gsmarena.com/xolo-phones-85.php
yezz-phones-78,Yezz,113,https://www.gsmarena.com/yezz-phones-78.php
yota-phones-99,Yota,3,https://www.gsmarena.com/yota-phones-99.php
yu-phones-100,YU,13,https://www.gsmarena.com/yu-phones-100.php
zte-phones-62,ZTE,383,https://www.gsmarena.com/zte-phones-62.php
